customer_id,full_name,email,birth_date,created_at
52,Scott Patterson,joehughes@reynolds.org,1955-01-03,2020-08-12T20:07:59
53,Kyle Carpenter,tpena@taylor.info,1980-08-03,2023-03-01T15:25:46
54,John Jennings,gevans@yahoo.com,1993-02-17,2024-10-13T07:08:21
55,John Lara,jeffery29@smith.biz,1953-08-05,2025-03-24T14:47:27
56,Dr. Mark Vaughan MD,ysmith@hotmail.com,1962-11-29,2020-08-17T16:34:55
57,Peter Rasmussen,jennifer42@yahoo.com,1939-11-10,2025-05-05T23:24:04
58,Dawn Cooke,yrichard@greer.org,1957-01-02,2022-01-14T16:00:06
59,Karen Aguilar,mespinoza@diaz.biz,1987-06-28,2020-10-20T10:13:14
60,April Chapman,patrick10@mullen.com,1974-04-17,2025-02-15T16:17:46
61,Tina Walker,douglas97@richards.com,1967-02-24,2022-02-27T06:30:10
62,Alicia Sutton,jilldaniel@hotmail.com,1941-06-26,2022-10-13T21:41:40
63,Holly Foster,adam57@saunders.biz,1969-10-05,2021-10-11T00:04:57
64,Gabriel York,kylemyers@hotmail.com,1946-09-11,2021-06-21T01:36:10
65,Ashley Gonzalez,katherine79@yahoo.com,1950-05-21,2022-05-16T17:32:09
66,Kimberly Bell,maria82@hood.com,1982-02-19,2023-10-28T12:32:58
67,Christopher Shaw,mcculloughjustin@woodward.com,1962-04-12,2020-07-28T23:35:38
68,Rachel Johnson,sarahmolina@collins-taylor.com,1981-12-16,2023-07-06T18:47:16
69,Austin Miller,collinsdenise@small-reyes.info,1959-07-25,2024-09-10T14:49:00
70,Amy Parrish,guzmanangela@gmail.com,1989-05-03,2022-05-25T11:09:30
71,Victoria Thomas,ryanpena@jackson.com,1999-05-21,2021-01-21T06:54:12
72,Allison Arnold,stodd@kirk.net,1963-11-08,2022-04-26T22:31:59
73,Jennifer Wright,virginiaortega@gmail.com,1984-09-07,2020-08-11T09:03:39
74,Mark Garcia,mary55@hotmail.com,1970-03-15,2021-05-14T13:17:12
75,Karen Trujillo,nicholas14@yahoo.com,1968-05-14,2023-11-10T17:24:11
76,Alexis Gardner,theresa05@curtis.com,1954-03-13,2020-07-15T07:34:43
77,Paula Monroe,kimberlyosborne@gmail.com,1964-12-23,2024-01-03T15:51:55
78,Thomas Walton,paulgomez@yahoo.com,1984-12-10,2022-08-16T15:59:07
79,Jasmine Harrington,clintonmoore@williams.com,2001-01-18,2022-07-22T06:07:54
80,Catherine Neal,lgoodwin@smith.com,1964-06-17,2025-04-04T04:41:31
81,Nicholas Haas,jenny05@yahoo.com,1961-11-08,2024-07-01T19:50:57
82,Carlos Kim,caitlintorres@li.info,1967-03-28,2025-06-24T07:04:07
83,Sara Strickland,alexissuarez@castillo.com,1972-06-09,2024-04-24T04:08:25
84,Ian Newman,solisthomas@gmail.com,1947-03-27,2020-11-21T03:26:25
85,Michael Torres,carrie86@moore-smith.com,1980-01-18,2023-08-28T07:46:17
86,Javier Banks,mlara@hotmail.com,1948-07-25,2025-06-08T02:54:45
87,Margaret Booker,jillthomas@tucker.com,2003-06-01,2022-01-03T05:44:46
88,Tricia Brown,uwaters@lawrence.com,1975-06-07,2022-07-20T02:03:52
89,Samantha Ward,michael12@gutierrez.net,1966-08-18,2021-12-12T02:25:02
90,Jeffrey Robinson,kevindorsey@becker.org,1957-05-08,2024-11-26T16:39:54
91,Jenna Watts,danielhernandez@baldwin-johnson.com,1973-06-16,2022-01-06T21:07:46
92,Richard Ramirez,wyatttimothy@hotmail.com,1940-11-18,2024-03-15T11:10:18
93,Michelle Thompson,matthew27@thompson.info,1951-05-17,2022-03-29T08:33:43
94,Jeffery Johns,lisa84@wright-poole.net,1949-12-18,2025-02-05T21:43:50
95,Ashley Graves,donna07@gmail.com,1982-04-29,2023-11-09T16:00:19
96,Megan Casey,chrishurst@jones.com,1975-07-04,2024-12-16T16:47:25
97,Jesse Gonzalez,brianmiller@hotmail.com,1942-10-15,2021-12-31T14:33:16
98,Amy Patterson,larsonsheena@perez.biz,1953-06-16,2021-08-13T03:36:25
99,Sean Castillo,joshuawells@phillips-bentley.org,1961-06-08,2020-11-23T01:59:37
100,Laura Frye,tpineda@townsend-sampson.com,1967-01-23,2023-03-30T10:17:55
